Date,Open,High,Low,Close,Volume
2010-01-04,681.289893483762,720.444485063289,681.289893483762,715.432678222656,852434
2010-01-05,720.875131094067,725.456246701104,703.255565981146,706.153015136719,439209
2010-01-06,708.306443634139,714.571177242844,701.141135450734,710.734008789063,517109
2010-01-07,712.613599837373,725.143069724624,709.207169330231,715.236938476563,403862
2010-01-08,718.643268552099,724.124910497125,710.734013639459,714.297119140625,284905
2010-01-11,718.72158776842,724.359857842746,714.179665246037,716.646423339844,200026
2010-01-12,716.528907067321,718.87818217246,700.867073033063,703.255493164063,271126
2010-01-13,704.782672917355,747.852725151193,696.951754329384,741.000671386719,770221
2010-01-14,750.201893387153,762.927134271851,745.425052850425,747.930908203125,722368
2010-01-15,748.009088016097,775.182375446398,741.274471739255,768.056213378906,1120261
2010-01-18,761.321825486098,774.477757613327,760.460395864665,768.956970214844,611660
2010-01-19,766.64684101883,767.42993278698,740.491556844169,745.73828125,740734
2010-01-20,742.527678590706,754.117428050322,735.323224235983,745.50341796875,399453
2010-01-21,746.286495265434,749.967036333315,729.841567248043,737.672485351563,316618
2010-01-22,725.534471964818,737.672393514148,708.698000138327,723.53759765625,420182
2010-01-25,720.444315939901,729.05832406527,697.734658154839,707.679931640625,342080
2010-01-27,696.951789910063,708.071704431901,682.542879854142,690.608764648438,595719
2010-01-28,689.590697916906,702.433424007175,675.495043923451,680.232788085938,577009
2010-01-29,677.139451454101,696.168571579211,672.989074703574,682.62109375,420031
2010-02-01,683.638983440693,691.469899631308,674.43765691672,683.873901367187,375181
2010-02-02,689.003245692124,700.788814571066,679.919400661228,683.169250488281,684694
2010-02-03,684.030639670001,699.496701643077,683.834866733633,692.135620117188,363644
2010-02-04,693.114467729625,696.168544580205,664.453329669633,670.992126464844,489416
2010-02-05,664.609946491367,668.760323011723,645.815745376284,662.143188476562,481157
2010-02-08,657.796980409501,672.675721633049,649.966063976054,659.872192382813,323712
2010-02-09,673.458931762731,682.347004359985,650.905898025716,679.527893066406,519891
2010-02-10,684.970317405417,693.036152330948,677.530946278701,681.211486816406,565180
2010-02-11,682.934202849715,697.812944069065,682.934202849715,693.740905761719,464079
2010-02-15,693.819293005549,696.129423235617,684.0306460952,685.792602539063,170647
2010-02-16,689.120662269366,720.326845868456,681.681291483503,715.628295898437,454528
2010-02-17,724.359903262626,740.804830796156,714.179710027584,717.821105957031,415569
2010-02-18,722.010587665539,722.010587665539,708.97209101495,711.673767089844,175958
2010-02-19,698.831143942575,715.667617702905,698.831143942575,706.231323242188,307547
2010-02-22,711.047144734201,721.227335132378,705.839566681302,709.989990234375,275189
2010-02-23,710.225241490458,716.29420399938,704.782742971616,708.659057617188,271280
2010-02-24,696.951632025348,715.667543284703,696.951632025348,708.815490722656,323657
